<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.LKOH,D,20150318,000000,27927.0000000,28558.0000000,27695.0000000,28429.0000000,42801
SPFB.LKOH,D,20150319,000000,28458.0000000,28531.0000000,27521.0000000,27692.0000000,43994
SPFB.LKOH,D,20150320,000000,27695.0000000,28534.0000000,27599.0000000,28283.0000000,58184
SPFB.LKOH,D,20150323,000000,28281.0000000,28339.0000000,27530.0000000,27643.0000000,37200
SPFB.LKOH,D,20150324,000000,27667.0000000,27983.0000000,27315.0000000,27926.0000000,43330
SPFB.LKOH,D,20150325,000000,27912.0000000,27999.0000000,27150.0000000,27879.0000000,48211
SPFB.LKOH,D,20150326,000000,27850.0000000,28339.0000000,27063.0000000,27125.0000000,60584
SPFB.LKOH,D,20150327,000000,27116.0000000,27373.0000000,26505.0000000,26636.0000000,37474
SPFB.LKOH,D,20150330,000000,26656.0000000,27478.0000000,26640.0000000,27325.0000000,34187
SPFB.LKOH,D,20150331,000000,27340.0000000,28473.0000000,27235.0000000,27745.0000000,35185
SPFB.LKOH,D,20150401,000000,27712.0000000,28410.0000000,27550.0000000,28276.0000000,47019
SPFB.LKOH,D,20150402,000000,28256.0000000,28866.0000000,28015.0000000,28784.0000000,51208
SPFB.LKOH,D,20150403,000000,28782.0000000,29147.0000000,28515.0000000,29100.0000000,24226
SPFB.LKOH,D,20150406,000000,29070.0000000,29276.0000000,28655.0000000,28999.0000000,35267
SPFB.LKOH,D,20150407,000000,28969.0000000,29033.0000000,28338.0000000,28440.0000000,47820
SPFB.LKOH,D,20150408,000000,28475.0000000,28510.0000000,27901.0000000,28155.0000000,30751
SPFB.LKOH,D,20150409,000000,28110.0000000,28146.0000000,27265.0000000,27780.0000000,49198
SPFB.LKOH,D,20150410,000000,27744.0000000,27744.0000000,26583.0000000,27179.0000000,49375
SPFB.LKOH,D,20150413,000000,27083.0000000,27429.0000000,26705.0000000,26826.0000000,45409
SPFB.LKOH,D,20150414,000000,26868.0000000,26942.0000000,26031.0000000,26132.0000000,39829
SPFB.LKOH,D,20150415,000000,26132.0000000,26589.0000000,25912.0000000,26503.0000000,37255
SPFB.LKOH,D,20150416,000000,26497.0000000,26899.0000000,25956.0000000,26490.0000000,55490
SPFB.LKOH,D,20150417,000000,26452.0000000,26720.0000000,25870.0000000,26365.0000000,63090
SPFB.LKOH,D,20150420,000000,26443.0000000,27519.0000000,26184.0000000,27328.0000000,57400
SPFB.LKOH,D,20150421,000000,27330.0000000,27911.0000000,27301.0000000,27800.0000000,38205
SPFB.LKOH,D,20150422,000000,27781.0000000,27963.0000000,26780.0000000,26892.0000000,43313
SPFB.LKOH,D,20150423,000000,26862.0000000,26937.0000000,26228.0000000,26509.0000000,54071
SPFB.LKOH,D,20150424,000000,26500.0000000,27228.0000000,26261.0000000,26803.0000000,51197
SPFB.LKOH,D,20150427,000000,26848.0000000,27459.0000000,26753.0000000,27037.0000000,44889
SPFB.LKOH,D,20150428,000000,27048.0000000,27269.0000000,26761.0000000,26906.0000000,49491
SPFB.LKOH,D,20150429,000000,26941.0000000,27215.0000000,26472.0000000,26630.0000000,33452
SPFB.LKOH,D,20150430,000000,26630.0000000,26927.0000000,26424.0000000,26835.0000000,34825
SPFB.LKOH,D,20150505,000000,26886.0000000,27378.0000000,26776.0000000,26789.0000000,39194
SPFB.LKOH,D,20150506,000000,26789.0000000,27059.0000000,26486.0000000,26850.0000000,36007
SPFB.LKOH,D,20150507,000000,26794.0000000,27091.0000000,26551.0000000,26881.0000000,31257
SPFB.LKOH,D,20150508,000000,26912.0000000,27367.0000000,26725.0000000,27296.0000000,29426
SPFB.LKOH,D,20150512,000000,27246.0000000,27440.0000000,26967.0000000,27252.0000000,38835
SPFB.LKOH,D,20150513,000000,27290.0000000,27379.0000000,26404.0000000,26520.0000000,46806
SPFB.LKOH,D,20150514,000000,26536.0000000,26794.0000000,26340.0000000,26590.0000000,40500
SPFB.LKOH,D,20150515,000000,26564.0000000,26567.0000000,25919.0000000,26127.0000000,33182
SPFB.LKOH,D,20150518,000000,26127.0000000,26210.0000000,25639.0000000,25700.0000000,33676
SPFB.LKOH,D,20150519,000000,25700.0000000,25839.0000000,25280.0000000,25518.0000000,48401
SPFB.LKOH,D,20150520,000000,25548.0000000,25642.0000000,25000.0000000,25090.0000000,54270
SPFB.LKOH,D,20150521,000000,25100.0000000,25521.0000000,24941.0000000,25448.0000000,58460
SPFB.LKOH,D,20150522,000000,25467.0000000,25646.0000000,25282.0000000,25511.0000000,37433
SPFB.LKOH,D,20150525,000000,25512.0000000,26178.0000000,24998.0000000,25376.0000000,31284
SPFB.LKOH,D,20150526,000000,25337.0000000,25455.0000000,25163.0000000,25346.0000000,28202
SPFB.LKOH,D,20150527,000000,25363.0000000,25695.0000000,24820.0000000,25524.0000000,48181
SPFB.LKOH,D,20150528,000000,25510.0000000,26098.0000000,25405.0000000,25964.0000000,47581
SPFB.LKOH,D,20150529,000000,25946.0000000,26116.0000000,24950.0000000,25159.0000000,58434
SPFB.LKOH,D,20150601,000000,25115.0000000,25307.0000000,24626.0000000,24726.0000000,60776
SPFB.LKOH,D,20150602,000000,24725.0000000,25352.0000000,24534.0000000,25216.0000000,68477
SPFB.LKOH,D,20150603,000000,25259.0000000,25302.0000000,24390.0000000,25134.0000000,52725
SPFB.LKOH,D,20150604,000000,25059.0000000,25433.0000000,24814.0000000,25350.0000000,47798
SPFB.LKOH,D,20150605,000000,25313.0000000,25933.0000000,25259.0000000,25820.0000000,46630
SPFB.LKOH,D,20150608,000000,25820.0000000,26058.0000000,25541.0000000,25670.0000000,45698
SPFB.LKOH,D,20150609,000000,25629.0000000,26232.0000000,25424.0000000,26070.0000000,35642
SPFB.LKOH,D,20150610,000000,26030.0000000,26088.0000000,25400.0000000,25557.0000000,1164
SPFB.LKOH,D,20150611,000000,25527.0000000,25527.0000000,24100.0000000,24939.0000000,4350
SPFB.LKOH,D,20150615,000000,24938.0000000,24965.0000000,24264.0000000,24760.0000000,42515
SPFB.LKOH,D,20150616,000000,24796.0000000,25074.0000000,24495.0000000,24855.0000000,32063
SPFB.LKOH,D,20150617,000000,24918.0000000,25090.0000000,24515.0000000,24740.0000000,35957
SPFB.LKOH,D,20150618,000000,24739.0000000,24789.0000000,24479.0000000,24697.0000000,26726
SPFB.LKOH,D,20150619,000000,24663.0000000,24829.0000000,24567.0000000,24742.0000000,26443
SPFB.LKOH,D,20150622,000000,24750.0000000,24990.0000000,24651.0000000,24739.0000000,28193
SPFB.LKOH,D,20150623,000000,24720.0000000,24845.0000000,24517.0000000,24642.0000000,26513
SPFB.LKOH,D,20150624,000000,24655.0000000,24686.0000000,24071.0000000,24155.0000000,43425
SPFB.LKOH,D,20150625,000000,24177.0000000,24355.0000000,23923.0000000,24005.0000000,25135
